Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Bright's Cafe,https://www.gps-coordinates.net/,08:05:00,21:00:00,4,3,4
Bright's Cafe,https://www.gps-coordinates.net/,08:05:00,21:00:00,4,3,4
Bright's Cafe,https://www.gps-coordinates.net/,08:05:00,21:00:00,4,3,4
Smith's Cafe,Water Tribe,08:30:00,20:00:00,☕️☕️☕️☕️,💪💪💪💪,🔌🔌🔌🔌
Ollie's Pub,Ejigbo Lagos,09:00:00,20:00:00,☕️☕️☕️☕️,💪💪💪,🔌🔌🔌
Danielle's Cafe,The Continental,08:00 AM,10:00 PM,☕️☕️,💪💪💪,🔌🔌🔌🔌
Queen's Cafe,https://www.gps-coordinates.net/,10:00 AM,06:00 PM,☕️☕️☕️☕️,✘,🔌🔌🔌🔌
Joy's Cafe,https://wtforms.readthedocs.io/en/3.0.x/_modules/wtforms/validators/,09:00 AM,09:00 PM,☕️☕️☕️,💪💪💪,✘
Joy's Cafe,https://wtforms.readthedocs.io/en/3.0.x/_modules/wtforms/validators/,09:00 AM,09:00 PM,☕️☕️☕️,💪💪💪,✘
Fate's Brew,https://www.gps-coordinates.net/,07:30 AM,07:00 PM,☕️☕️☕️☕️☕️,💪,🔌🔌🔌
Fate's Brew,https://www.gps-coordinates.net/,07:30 AM,07:00 PM,☕️☕️☕️☕️☕️,💪,🔌🔌🔌
Gloria's Browns,https://www.gps-coordinates.net/,09:00 AM,05:30 PM,☕️☕️☕️,💪💪💪💪💪,🔌🔌🔌
Mama Jane's Cafe,https://ww.gps-coordinates.net/,10:00 AM,10:00 PM,☕️☕️☕️☕️,✘,🔌🔌🔌
